51.777710 0.256291 18.822445 1.062649 20.266739 11.572184
27.861778 0.157032 9.510578 0.547470 11.721613 6.027932
13.644673 0.104160 4.849847 0.269326 5.437860 3.033914
7.491056 0.079176 2.492641 0.139102 2.959660 1.846058
4.013219 0.066475 1.298899 0.072780 1.625644 0.962331
2.101492 0.061528 0.695000 0.036973 0.790825 0.524513
1.679387 0.060262 0.572493 0.030816 0.616325 0.406013
1.505501 0.059927 0.490113 0.026587 0.630439 0.304232
1.737923 0.059267 0.429468 0.024741 0.786460 0.443465
1.139994 0.059452 0.383397 0.022026 0.427907 0.253115
1.173242 0.059768 0.349163 0.020913 0.489479 0.259561
