53.704914 0.266658 18.781815 1.108644 22.008787 11.752066
34.946442 0.157546 9.531007 0.541397 16.727583 8.092285
13.421649 0.104166 4.841939 0.254061 4.998993 3.272958
7.237915 0.079316 2.488113 0.140049 2.788641 1.766978
3.743399 0.066687 1.300430 0.071121 1.506247 0.811838
2.126366 0.060996 0.693421 0.036821 0.837291 0.505288
1.697022 0.059921 0.571090 0.031225 0.643529 0.397674
1.757116 0.059722 0.488995 0.030553 0.717508 0.465954
1.355164 0.059643 0.430891 0.023350 0.561424 0.285770
1.118719 0.058779 0.384140 0.021196 0.418035 0.241829
1.138687 0.058829 0.347442 0.020063 0.437569 0.279888
