51.955921 0.263650 18.772219 1.030281 20.175209 11.924075
27.105389 0.156831 9.534723 0.561398 10.613300 6.342379
14.973654 0.105684 4.840139 0.285958 6.441319 3.352113
6.916563 0.078696 2.489991 0.135366 2.734852 1.502639
3.728424 0.066852 1.299932 0.073067 1.471621 0.830067
2.005838 0.060785 0.690806 0.037335 0.756986 0.467145
1.705686 0.059904 0.569925 0.030709 0.691166 0.360302
1.853917 0.059362 0.489281 0.027567 0.865636 0.417880
1.311534 0.060121 0.429784 0.023781 0.529823 0.274020
1.261500 0.060087 0.384673 0.022926 0.470945 0.328806
1.265397 0.058827 0.351160 0.019564 0.435406 0.405565
